"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"107408702",93.5,"KAW CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","KAY","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",36.7651,-96.8826,20,1,0,0,"N","N","N","N","N","Y","N","N","N",0.829,0.0022,0.0076,0.0152,0.0023,0.0051,0.0077,0.0586,0.0589,0.1287,0.1309,0.1156,0.0992,0.1876,0.1112,0.1679,0.0166,0.0435,0.0632,0.0585,0.0719,0.0672,0.0419,0.0158,0.0435,0.0585,0.0585,0.0727,0.0585,0.0545
"100804224",6,"OKLAHOMA CITY","OFF PREMISE","OPEN STORE","DRUG","CONVENTIONAL DRUG","501+ STORES","OTHER","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",35.5786,-97.6383,125,8,0,0,"Y","N","N","N","N","Y","N","N","N",0.7119,0.136,0.0505,0.0465,0.0096,0.0132,0.0237,0.0315,0.0311,0.0489,0.0678,0.0743,0.0664,0.1773,0.1364,0.3979,0.0252,0.062,0.0532,0.0533,0.0719,0.0495,0.0288,0.0251,0.0686,0.058,0.0689,0.0835,0.0547,0.046
"201947010",9,"BROKEN ARROW","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","MEXICAN","TULSA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",36.0175,-95.8155,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7877,0.0398,0.0416,0.0498,0.0071,0.0195,0.0233,0.0368,0.0191,0.0464,0.0573,0.0765,0.0839,0.2071,0.1758,0.3339,0.0275,0.0623,0.0639,0.0635,0.062,0.0379,0.0186,0.027,0.0641,0.0686,0.07,0.0697,0.0439,0.0274
"107407742",,"TULSA","OFF PREMISE","OPEN STORE","LIQUOR","CONVENTIONAL LIQUOR","1 STORE","OTHER","TULSA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",36.1482,-95.8714,10,3,0,0,"N","N","N","N","N","Y","Y","Y","N",0.5027,0.1139,0.0231,0.2617,0.0527,0.1063,0.1027,0.042,0.0568,0.1195,0.1316,0.123,0.1229,0.2222,0.1143,0.1097,0.0243,0.0771,0.0672,0.0575,0.051,0.0314,0.0223,0.0237,0.0744,0.065,0.055,0.0532,0.0374,0.0336
"102164693",,"NORMAN","ON PREMISE","OPEN STORE","DINING","FAST CASUAL","51-100 STORES","PIZZA","CLEVELAND","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",35.2172,-97.4238,0,0,0,0,"Y","N","N","N","N","Y","N","N","N",0.7504,0.0482,0.0468,0.0678,0.0104,0.0188,0.0387,0.0415,0.079,0.0903,0.0949,0.0926,0.0849,0.1822,0.1251,0.2509,0.0589,0.0935,0.067,0.049,0.0451,0.0304,0.0173,0.0566,0.0842,0.0641,0.0515,0.052,0.0381,0.0282
"107181289",,"TULSA","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","OTHER","TULSA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","WHITE COLLAR","GENERAL POPULATION",36.1576,-95.9931,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.5402,0.247,0.0128,0.0988,0.0238,0.0385,0.0365,0.0432,0.1177,0.1259,0.1245,0.1118,0.0927,0.168,0.0892,0.1702,0.0245,0.0759,0.0651,0.0629,0.0658,0.0405,0.0193,0.0255,0.08,0.0653,0.0585,0.0667,0.0449,0.0307
"100193655",50.25,"RINGWOOD","OFF PREMISE","OPEN STORE","GROCERY","SUPERMARKET-CONVENTIONAL","1 STORE","OTHER","MAJOR","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",36.3825,-98.2449,50,6,13,3,"N","N","N","N","N","Y","N","N","N",0.8909,0.0029,0.0018,0.0693,0.0111,0.0232,0.035,0.0134,0.0318,0.0834,0.0902,0.0861,0.0878,0.222,0.1437,0.255,0.0234,0.0517,0.0525,0.0595,0.0806,0.0542,0.0398,0.0219,0.0507,0.0535,0.0589,0.067,0.0571,0.0478
"201960460",,"OKLAHOMA CITY","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","STEAK","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",35.5584,-97.6391,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.6709,0.1299,0.0513,0.0913,0.0186,0.0282,0.0444,0.0319,0.0427,0.0687,0.0922,0.0989,0.0894,0.181,0.135,0.2921,0.0231,0.073,0.0649,0.0548,0.0583,0.0395,0.0253,0.0236,0.0782,0.0681,0.0614,0.0676,0.0482,0.0392
"101809627",25.25,"CHECOTAH","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","MCINTOSH","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","UNKNOWN",35.4557,-95.53,20,2,0,0,"N","N","N","N","N","Y","N","N","N",0.7273,0.0332,0.0081,0.0171,0.0029,0.0053,0.0089,0.0588,0.074,0.1074,0.1128,0.1043,0.0986,0.2076,0.1142,0.1812,0.0237,0.0506,0.0464,0.0611,0.068,0.064,0.0411,0.0225,0.0513,0.0551,0.064,0.0769,0.0681,0.0487
"100881965",35.75,"OKLAHOMA CITY","OFF PREMISE","OPEN STORE","DRUG","CONVENTIONAL DRUG","501+ STORES","OTHER","OKLAHOMA","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","HISPANIC (GENERAL)","UNKNOWN","UNKNOWN",35.4353,-97.5644,125,9,0,0,"Y","N","N","N","N","Y","N","N","N",0.3394,0.0514,0.0165,0.5328,0.1465,0.2318,0.1544,0.0223,0.096,0.1455,0.1617,0.1523,0.1341,0.1772,0.0711,0.062,0.0261,0.083,0.0696,0.0551,0.045,0.0249,0.0128,0.024,0.0792,0.0655,0.0517,0.0426,0.0265,0.0188
