"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"101734633",52,"SALT LAKE CITY","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","OTHER","SALT LAKE","MORE THAN 85K HOUSEHOLDS","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.755,-111.8879,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7358,0.0244,0.0682,0.1397,0.0351,0.0393,0.0654,0.0199,0.105,0.1185,0.1183,0.1083,0.0887,0.1638,0.1071,0.1903,0.0265,0.1298,0.0864,0.0643,0.0545,0.0344,0.0186,0.0278,0.1067,0.0776,0.0477,0.046,0.0349,0.0285
"201705292",917.2499,"WEST JORDAN","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","51-100 STORES","OTHER","SALT LAKE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.6063,-111.9978,25,2,0,0,"Y","N","N","N","N","Y","N","N","N",0.7581,0.0068,0.0579,0.1581,0.0227,0.0487,0.0868,0.0156,0.0163,0.0297,0.0464,0.0617,0.0715,0.229,0.1928,0.3526,0.0297,0.0698,0.0706,0.0644,0.0418,0.0187,0.0059,0.0307,0.073,0.0768,0.0651,0.043,0.0204,0.0086
"1002798",2947.5009,"NORTH SALT LAKE","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","201-500 STORES","OTHER","DAVIS","MORE THAN 85K HOUSEHOLDS","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.8419,-111.9302,0,0,0,0,"Y","N","N","N","N","N","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100447937",519.5,"CLEARFIELD","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","201-500 STORES","OTHER","DAVIS","MORE THAN 85K HOUSEHOLDS","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","BLUE COLLAR","GENERAL POPULATION",41.103,-112.0146,40,2,0,0,"Y","N","N","N","N","Y","N","N","N",0.7648,0.0237,0.0368,0.1444,0.0311,0.0274,0.0858,0.0244,0.0571,0.1,0.1094,0.1063,0.1014,0.2215,0.1256,0.1786,0.0257,0.082,0.0778,0.0481,0.0378,0.0234,0.0142,0.0276,0.0865,0.0772,0.0454,0.0395,0.0269,0.0212
"100634088",491,"WEST JORDAN","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","26-50 STORES","OTHER","SALT LAKE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.588,-111.939,80,3,0,0,"Y","N","N","N","N","Y","N","N","N",0.8056,0.0063,0.0437,0.1282,0.0187,0.0331,0.0765,0.0106,0.0181,0.0373,0.0526,0.0637,0.0723,0.206,0.1729,0.3771,0.0303,0.0748,0.0634,0.0526,0.055,0.0325,0.02,0.0293,0.0748,0.063,0.0586,0.0609,0.0369,0.0332
"100414460",448.5834,"SALT LAKE CITY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","501+ STORES","OTHER","SALT LAKE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.7609,-111.8821,60,2,0,0,"Y","Y","N","N","N","Y","N","N","N",0.7581,0.0224,0.0818,0.1042,0.0283,0.0267,0.0493,0.0208,0.1223,0.1361,0.1312,0.1165,0.0892,0.1546,0.0915,0.1587,0.0329,0.1484,0.0875,0.0614,0.0528,0.0344,0.0201,0.0345,0.1177,0.0777,0.0414,0.0404,0.0353,0.0309
"105528176",,"LAYTON","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","51-100 STORES","AMERICAN","DAVIS","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",41.0839,-111.984,0,0,0,0,"Y","N","N","N","N","Y","Y","Y","N",0.8061,0.0186,0.0323,0.1208,0.0213,0.0234,0.0762,0.0173,0.0299,0.057,0.07,0.0771,0.078,0.2116,0.1736,0.3027,0.0285,0.0721,0.0748,0.0533,0.0436,0.0253,0.0138,0.0276,0.073,0.074,0.0531,0.0444,0.0271,0.0182
"103687670",878.1666,"ROY","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","201-500 STORES","OTHER","WEBER","MORE THAN 85K HOUSEHOLDS","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","BLUE COLLAR","GENERAL POPULATION",41.1905,-112.0465,40,3,0,0,"Y","N","N","N","N","Y","N","N","N",0.8515,0.0097,0.0189,0.1036,0.0155,0.0255,0.0626,0.0118,0.0158,0.0361,0.0478,0.0668,0.0793,0.2027,0.1972,0.3542,0.029,0.0713,0.0721,0.0582,0.0489,0.026,0.0139,0.0276,0.0683,0.0712,0.0585,0.0482,0.0301,0.018
"103970606",18,"SALT LAKE CITY","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","101-200 STORES","ITALIAN","SALT LAKE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",40.6366,-111.8889,0,0,0,0,"Y","N","N","N","N","Y","Y","Y","N",0.7968,0.0134,0.046,0.1214,0.0239,0.0365,0.0609,0.0156,0.0311,0.0621,0.0772,0.0878,0.0897,0.213,0.1542,0.2849,0.0247,0.0829,0.0718,0.0535,0.0527,0.0353,0.0224,0.0249,0.0822,0.0704,0.0559,0.0586,0.0426,0.0328
"101676373",26,"ESCALANTE","ON PREMISE","OPEN STORE","DINING","CASUAL DINING","1 STORE","AMERICAN","GARFIELD","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",37.7705,-111.6064,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.9338,0,0.003,0.0459,0.0166,0.0121,0.0172,0.0041,0.0901,0.0737,0.1054,0.1361,0.1331,0.1975,0.1372,0.1269,0.0233,0.0561,0.0513,0.0634,0.1099,0.0674,0.0385,0.0209,0.0409,0.0449,0.0674,0.0962,0.0601,0.0433
