"STORE_CD","L12M_TY_QTY","CITY","PREMISE_TYPE_DSC","STORE_STTS_DSC","CHANNEL_DSC","SUBCHANNEL_DSC","NO_OF_STORES_DSC","FOOD_TYPE_GROUP_DSC","FIPS_COUNTY_DSC","NIELSEN_SIZE_DSC","INDUSTRY_VOL_DSC","PATRON_ETHNICITY_DSC","PATRON_OCCUPATION_DSC","PATRON_AGE_DSC","LATITUDE","LONGITUDE","WEEKLY_VOLUME","SQ_FT","EMPLOYEE_EQV","NBR_OF_CHECKOUT","CHAIN_IND_FLG","FRANCHISE_FLG","GAS_FLG","PHARMACY_FLG","HI_VOL_CIG_FLG","BEER_FLG","WINE_FLG","LIQUOR_FLG","FINE_WINE_FLG","WHITE_POP_PCT","BLACK_POP_PCT","ASIAN_POP_PCT","HISP_POP_PCT","LEAST_ACC_HISP_POP_PCT","BI_CULTURAL_HISP_POP_PCT","MOST_ACC_HISP_POP_PCT","OTHER_POP_PCT","INCOME_POP_L10_PCT","INCOME_POP_1020_PCT","INCOME_POP_2030_PCT","INCOME_POP_3040_PCT","INCOME_POP_4050_PCT","INCOME_POP_5075_PCT","INCOME_POP_75100_PCT","INCOME_POP_G100_PCT","MALE_POP_2124_PCT","MALE_POP_2534_PCT","MALE_POP_3544_PCT","MALE_POP_4554_PCT","MALE_POP_5564_PCT","MALE_POP_6574_PCT","MALE_POP_75_PCT","FEMALE_POP_2124_PCT","FEMALE_POP_2534_PCT","FEMALE_POP_3544_PCT","FEMALE_POP_4554_PCT","FEMALE_POP_5564_PCT","FEMALE_POP_6574_PCT","FEMALE_POP_75_PCT"
"101947508",17,"KANSAS CITY","ON PREMISE","OPEN STORE","RECREATION","PRIVATE CLUB","1 STORE","OTHER","WYANDOTTE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",39.1132,-94.6189,0,0,0,0,"N","N","N","N","N","Y","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101976531",,"DODGE CITY","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","SPORTS BAR","1 STORE","OTHER","FORD","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",37.7785,-100.0161,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.4466,0.028,0.0225,0.4907,0.0889,0.1914,0.2105,0.0079,0.0435,0.0807,0.1008,0.1102,0.0965,0.2361,0.1588,0.1734,0.0298,0.0764,0.0666,0.0624,0.0519,0.0287,0.0163,0.0271,0.0688,0.061,0.0555,0.0503,0.0305,0.0244
"103978953",,"WICHITA","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","CASUAL NIGHTCLUB","1 STORE","OTHER","SEDGWICK","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","HISPANIC (GENERAL)","BLUE COLLAR","GENERAL POPULATION",37.7236,-97.336,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.6834,0.104,0.0461,0.1367,0.0295,0.0409,0.0664,0.0207,0.0635,0.0909,0.1036,0.1062,0.0961,0.1927,0.1288,0.2182,0.0262,0.0728,0.0626,0.0573,0.0588,0.0373,0.0227,0.0256,0.0734,0.0625,0.058,0.0625,0.0421,0.0329
"201733692",,"SHAWNEE","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","OTHER","JOHNSON","MORE THAN 85K HOUSEHOLDS","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","OTHER","UNKNOWN",38.9949,-94.7142,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.7582,0.078,0.0327,0.1114,0.023,0.0326,0.0558,0.0166,0.0334,0.0644,0.0877,0.0964,0.089,0.2071,0.1573,0.2646,0.0222,0.0821,0.073,0.0581,0.0578,0.0389,0.0235,0.0225,0.0809,0.0709,0.0608,0.0683,0.0495,0.0358
"101737044",,"SALINA","ON PREMISE","OPEN STORE","BAR/NIGHTCLUB","NEIGHBORHOOD BAR","1 STORE","OTHER","SALINE","URBAN ALL OTHER COUNTIES","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",38.8441,-97.6093,0,0,0,0,"N","N","N","N","N","Y","Y","Y","N",0.8168,0.0386,0.0224,0.0988,0.0152,0.0407,0.0429,0.0167,0.0433,0.139,0.1291,0.1106,0.0977,0.2061,0.1238,0.1504,0.0249,0.0733,0.0639,0.0619,0.0612,0.0388,0.025,0.0221,0.0684,0.0631,0.0598,0.0637,0.0435,0.0419
"101643694",4,"GREAT BEND","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","4-5 STORES","OTHER","BARTON","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",38.3615,-98.7653,30,2,0,0,"Y","N","N","N","N","Y","N","N","N",0.6814,0.0141,0.0065,0.2794,0.0604,0.1044,0.1146,0.0118,0.0713,0.1371,0.123,0.1233,0.1255,0.1859,0.0954,0.1386,0.0275,0.0717,0.0628,0.0551,0.0584,0.0361,0.0221,0.0244,0.0672,0.0568,0.0578,0.0596,0.0359,0.0315
"107339029",195.8329,"KANSAS CITY","OFF PREMISE","OPEN STORE","GROCERY","SUPERMARKET-CONVENTIONAL","26-50 STORES","OTHER","WYANDOTTE","MORE THAN 85K HOUSEHOLDS","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","BLUE COLLAR","GENERAL POPULATION",39.1167,-94.7555,425,51,127,10,"Y","Y","N","N","N","Y","N","N","N",0.458,0.337,0.0326,0.1481,0.0346,0.0498,0.0636,0.0195,0.065,0.121,0.1232,0.1197,0.1062,0.2113,0.1275,0.126,0.0253,0.0665,0.06,0.0544,0.0565,0.036,0.0223,0.0256,0.0707,0.0641,0.0596,0.0663,0.0458,0.0351
"100451696",73,"HOLCOMB","OFF PREMISE","OPEN STORE","CONVENIENCE STORE","CONVENTIONAL CONVENIENCE","1 STORE","OTHER","FINNEY","URBAN ALL OTHER COUNTIES","LOWEST 20% ON/ LOWEST 20% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",37.9892,-100.988,20,2,0,0,"N","N","N","N","N","Y","N","N","N",0.6973,0.0056,0.0082,0.2754,0.0438,0.1085,0.123,0.0096,0.0375,0.045,0.0541,0.0809,0.0838,0.1782,0.2436,0.2768,0.0343,0.0594,0.0591,0.0657,0.0542,0.0295,0.0135,0.0314,0.0565,0.065,0.0717,0.0532,0.0283,0.0136
"101404060",428.5833,"DERBY","OFF PREMISE","OPEN STORE","LIQUOR","CONVENTIONAL LIQUOR","1 STORE","OTHER","SEDGWICK","MORE THAN 85K HOUSEHOLDS","TOP 50% ON/ TOP 20% OFF","GENERAL POPULATION","OTHER","GENERAL POPULATION",37.5636,-97.276,10,3,0,0,"N","N","N","N","N","Y","Y","Y","N",0.9002,0.0163,0.0152,0.0443,0.006,0.0126,0.0257,0.0156,0.0225,0.0455,0.054,0.0696,0.0791,0.2126,0.1711,0.3456,0.0285,0.0633,0.0583,0.059,0.0643,0.0415,0.0232,0.026,0.0627,0.0607,0.0636,0.0712,0.0453,0.034
"100423856",32,"PROTECTION","OFF PREMISE","OPEN STORE","EXTENDED MASTER OFF-PREMISE","SMALL GROCERY","1 STORE","OTHER","COMANCHE","URBAN ALL OTHER COUNTIES","MID 30% ON/ MID 60% OFF","GENERAL POPULATION","UNKNOWN","GENERAL POPULATION",37.2022,-99.4842,0,0,0,0,"N","N","N","N","N","N","N","N","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
